CODIGO,NOMBRE,UNIDAD,BLOQUE,TIPO,DESCRIPCIO,AREA_M2,cod_reg_bq
19,Decanato,FICT,19,Edificio,Gobierno de FICT,843.13,
20A,Varios,FICT,20-A,Laboratorios,Laboratorio FICT,385.99,
20B,Varios,FICT,20-B,Laboratorios,Laboratorio de Minas,557.28,
20-D,Varios,FICT,20-D,Laboratorios,Laboratorio de Yacimientos,636.84,
20C,Varios,FICT,20-C,Laboratorios,Laboratorio de Suelos y Rocas,477.97,
5,Bienestar estudiantil,S/N,5,Administrativo,Bienestar Estudiantil,,
9B,Varios,FICT,9-B,Edificio,Asociación estudiantiles- trabajadores,128.51,
20 F,Varios,FICT,19-A,Aulas,Edificio Inteligente,1560.78,
24D,Asociación de Estudiantes,FICT,24-D,Edificio,Asociación de Estudiantes,87.05,
26,ICQ,FCNM,26,Oficinas,Gobierno Instituto de Ciencias Químicas,,
32A,Basico,FCNM,32-A,Aulas,Aulas para el ciclo Básico,,
32D,ICM,FCNM,32-D,Aulas,Aulas ICM,,
27AB,,FSCH,27-AB,Laboratorios,Laboratorios FCSH,,
25,,FCNM,25,Oficinas,Gobierno FCNM,,
24D,Biblioteca,FICT,24-D,Edificio,Biblioteca,179.48,
32C,,FCSH,32-C,Aulas,Aulas FCSH,,
30,,FICT,30,Laboratorios,Arqueología,454.85,
30,,FICT,30,Oficinas,Arqueología,304.80,
31-C,,FCNM,31-C,Aulas,Aulas Celex,,
31-E,,FCNM,31-E,Laboratorios,Laboratorios y Aulas CELEX,,
31-B,,FCNM,31-B,Aulas,Aulas para el ciclo Básico,,
31-A,,FCNM,31-A,Aulas,Aulas para el ciclo Básico,,
32-E,,FCSH,32-E,Aulas,Aulas de Maestrías,,
31-G,,FCSH,31-G,Oficinas,Oficinas Administrativas,,
S/N,,FCSH,S/N,Cancha,Cancha Sintética FCSH,,
21,,FCSH,21,Oficinas,Gobierno FCSH,,
22,,EDCOM,22,Oficinas,Administración EDCOM-LICTUR,,
22-A,,EDCOM,22-A,Aulas,Aulas EDCOM-LICTUR,,
22-B,,EDCOM,22-B,Aulas,Talleres y laboratorios EDCOM-LICTUR,,
60,,FIMCBOR,61,Aulas,Aulas y Biblioteca de la facultad,,
62-A,,FIMCBOR,62-A,Laboratorios,Laboratorios de Biología,,
76-C,,FIMCBOR,76-C,Comedor,Patio de comidas,,
62,,FIMCBOR,62,Laboratorios,Laboratotios Acuicultura-CSA,,
60,,FIMCBOR,60,Oficinas,Gobierno FIMCBOR,,
63-A,,FIMCBOR,63-A,Laboratorios,Laboratorios Oceanografía satelital,,
D-6,,FIMCBOR,D-6,Cancha,Cancha de fútbol Área (C),,
16AB,,FIEC,16-A,Laboratorios,Laboratorio de Ingeniería Eléctrica,,
16AB,,FIEC,16-A,Laboratorios,Laboratorio de Ingeniería Eléctrica,,
24-AB,Varios,FIEC,24-A,Aulas,Aulas,,
16-B,,FIEC,16-B,Laboratorios,Laboratorio de Ingeniería Eléctrica,,
16-C,,FIEC,16-C,Laboratorios,Laboratorio de Computación de Ingeniería Eléctrica,,
16-C,,FIEC,16-C,Laboratorios,Laboratorio de Computación de Ingeniería Eléctrica,,
16-C,,FIEC,16-C,Laboratorios,Laboratorio de Computación de Ingeniería Eléctrica,,
76,Patio de comidas,FIEC,76,Comedor,Comedor,,
15,Varios,FIEC,15,Oficinas,Gobierno de FIEC,,
16AB,,FIEC,16-A,Laboratorios,Laboratorio de Ingeniería Eléctrica,,
76B,,FIEC,76-B,Comedor,Comedor,,
17,,FIMCP,17,Auditorio,Gobierno de FIMCP,,
17,Decanto,FIMCP,17,Oficinas,Gobierno de FIMCP,,
24-C,Varios,FIMCP,24-C,Aulas,Aulas,,
18D,,FIMCP,18-D,Laboratorios,Ingeniería Agropecuaria,,
18BC,,FIMCP,18-C,Laboratorios,Laboratorio de Ingeniería Mecánica,,
24E,,FIMCP,24-E,Equipos,Equipos,,
24E,,FIMCP,24-E,Aulas,Aulas y laboratorios,,
76A,,FIMCP,76-A,Comedor,Patio de comidas,,
18E,,FIMCP,18-E,Laboratorios,Laboratorio de Ingeniería Mecánica,0.00,
9C,,FIMCP,9-C,Oficinas,Asociación estudiantiles,,
24-E,,FIMCP,24-E,Laboratorios,Aulas y laboratorios,,
24-E,,FIMCP,24-E,Auditorio,Auditorio,,
18B,,FIMCP,18-B,Laboratorios,Laboratorio de Ingeniería Mecánica,,
18C,,FIMCP,18-BC,Oficinas,Laboratorio de Ingeniería Mecánica,,
15A,,FIEC,15-A,Aulas,Administración de FIEC,,
26A,Varios,FCSH,26-A,Auditorio,"Auditorio, Dispensario FCSH",,
75A,Copiadora,FCSH,75-A,Copiadora,Copiadora,,
32B,,FCSH,32-B,Aula,Aulas y Oficinas,,
7B,Comedor,FCSH,7-B,Comedor,Comedor abierto,,
7A,Comdedor,FCSH,7-A,Comedor,Comedor cerrado,,
32B,Laboratorios de Computacion ICM,FCSH,32-B,Laboratorio,Laboratorios y Aula de Dibujo,,
20A,Varios,FICT,20-A,Laboratorios,Laboratorio FICT,385.99,
20B,Varios,FICT,20-B,Laboratorios,Laboratorio de Minas,557.28,
20-D,Varios,FICT,20-D,Laboratorios,Laboratorio de Yacimientos,636.84,
20C,Varios,FICT,20-C,Laboratorios,Laboratorio de Suelos y Rocas,477.97,
20 F,Varios,FICT,19-A,Aulas,Edificio Inteligente,1560.78,
32A,Basico,FCNM,32-A,Aulas,Aulas para el ciclo Básico,0.00,
32D,ICM,FCNM,32-D,Aulas,Aulas ICM,0.00,
27AB,,FSCH,27-AB,Laboratorios,Laboratorios FCSH,0.00,
24D,Biblioteca,FICT,24-D,Edificio,Biblioteca,179.48,
32C,,FCSH,32-C,Aulas,Aulas FCSH,0.00,
30,,FICT,30,Laboratorios,Arqueología,454.85,
31-C,,FCNM,31-C,Aulas,Aulas Celex,0.00,
31-E,,FCNM,31-E,Laboratorios,Laboratorios y Aulas CELEX,0.00,
31-B,,FCNM,31-B,Aulas,Aulas para el ciclo Básico,0.00,
31-A,,FCNM,31-A,Aulas,Aulas para el ciclo Básico,0.00,
32-E,,FCSH,32-E,Aulas,Aulas de Maestrías,0.00,
22-A,,EDCOM,22-A,Aulas,Aulas EDCOM-LICTUR,0.00,
22-B,,EDCOM,22-B,Aulas,Talleres y laboratorios EDCOM-LICTUR,0.00,
60,,FIMCBOR,61,Aulas,Aulas y Biblioteca de la facultad,0.00,
62-A,,FIMCBOR,62-A,Laboratorios,Laboratorios de Biología,0.00,
37,BLOQUE 37,FCV,37,Varios,Varios,0.00,BLOQUE 37
62,,FIMCBOR,62,Laboratorios,Laboratotios Acuicultura-CSA,0.00,
63-A,,FIMCBOR,63-A,Laboratorios,Laboratorios Oceanografía satelital,0.00,
D-6,,FIMCBOR,D-6,Cancha,Cancha de fútbol Área (C),0.00,
16AB,,FIEC,16-A,Laboratorios,Laboratorio de Ingeniería Eléctrica,0.00,
16AB,,FIEC,16-A,Laboratorios,Laboratorio de Ingeniería Eléctrica,0.00,
24-AB,Varios,FIEC,24-A,Aulas,Aulas,0.00,
16-B,,FIEC,16-B,Laboratorios,Laboratorio de Ingeniería Eléctrica,0.00,
16-C,,FIEC,16-C,Laboratorios,Laboratorio de Computación de Ingeniería Eléctr,0.00,
16-C,,FIEC,16-C,Laboratorios,Laboratorio de Computación de Ingeniería Eléctr,0.00,
16-C,,FIEC,16-C,Laboratorios,Laboratorio de Computación de Ingeniería Eléctr,0.00,
16AB,,FIEC,16-A,Laboratorios,Laboratorio de Ingeniería Eléctrica,0.00,
76B,,FIEC,76-B,Comedor,Comedor,0.00,
24-C,Varios,FIMCP,24-C,Aulas,Aulas,0.00,
18D,,FIMCP,18-D,Laboratorios,Ingeniería Agropecuaria,0.00,
18A,,FIMCP,18-A,Laboratorios,Laboratorio de Ingeniería Mecánica,0.00,
18BC,,FIMCP,18-C,Laboratorios,Laboratorio de Ingeniería Mecánica,0.00,
24E,,FIMCP,24-E,Equipos,Equipos,0.00,
24E,,FIMCP,24-E,Aulas,Aulas y laboratorios,0.00,
18E,,FIMCP,18-E,Laboratorios,Laboratorio de Ingeniería Mecánica,0.00,
24-E,,FIMCP,24-E,Laboratorios,Aulas y laboratorios,0.00,
24-E,,FIMCP,24-E,Auditorio,Auditorio,0.00,
18B,,FIMCP,18-B,Laboratorios,Laboratorio de Ingeniería Mecánica,0.00,
18C,,FIMCP,18-BC,Oficinas,Laboratorio de Ingeniería Mecánica,0.00,
26A,Varios,FCSH,26-A,Auditorio,"Auditorio, Dispensario FCSH",0.00,
32B,,FCSH,32-B,Aula,Aulas y Oficinas,0.00,
32B,Laboratorios de Computacion ICM,FCSH,32-B,Laboratorio,Laboratorios y Aula de Dibujo,0.00,
15A,,FIEC,15-A,Aulas,Administración de FIEC,0.00,
15,Varios,FIEC,15,Oficinas,Gobierno de FIEC,0.00,
19,Decanato,FICT,19,Edificio,Gobierno de FICT,843.13,
GMSO,Gimnasio,ESPOL,DEPORTE,AULAS,DEPORTE CAMPUS PROSPERINA,0.00,DEPORTE CA
41,BLOQUE 41,FCV,41,Aulas,Aulas,0.00,BLOQUE 41
PSCN,Piscina,ESPOL,DEPORTE,AULAS,DEPORTE CAMPUS PROSPERINA,0.00,DEPORTE CA
CLSO,Coliseo,ESPOL,DEPORTE,AULAS,DEPORTE CAMPUS PROSPERINA,0.00,DEPORTE CA
ESTDO,Estadio,ESPOL,DEPORTE,AULAS,DEPORTE CAMPUS PROSPERINA,0.00,DEPORTE CA
LGO,Lago,ESPOL,DEPORTE,AULAS,DEPORTE CAMPUS PROSPERINA,0.00,DEPORTE CA
BLTCA,Biblioteca Central,ESPOL,CIB,Edificio,Biblioteca Central,0.00,Biblioteca
1,Rectorado,ESPOL,1,Edificio,Edificio Rectorado,0.00,Rectorado
STA,STA,ESPOL,STA,Edificio,Secretaría Técnica Académica,0.00,STA
47,BLOQUE 47,FCV,47,Aulas,Laboratorio,0.00,BLOQUE 47
45,BLOQUE 45,FCV,45,Aulas,Aulas,0.00,BLOQUE 45
55,BLOQUE 55,FCV,55,Varios,Varios,0.00,BLOQUE 55
39,BLOQUE 39,FCV,39,Varios,Varios,0.00,BLOQUE 39
55A,BLOQUE 55A,FCV,55A,Varios,Varios,0.00,BLOQUE 55A
42,BLOQUE 42,FCV,42,Varios,Varios,0.00,BLOQUE 42
43A,BLOQUE 43A,FCV,43A,Varios,Varios,0.00,BLOQUE 43A
36,BLOQUE 36,FCV,36,Varios,Varios,0.00,BLOQUE 36
36A,BLOQUE 36A,FCV,36A,Varios,Varios,0.00,BLOQUE 36A
111,BLOQUE 111,UPC,111,Policía,Unidad de Policía Comunitaria,0.00,BLOQUE 111
101,BLOQUE 101,CISE/CEC,101,Aulas,Centro de Servicios Educativos,0.00,BLOQUE 10*
INGRESO,Admisiones Prepolitécnico,ADMISIONES,100,Facultad,Admisiones Prepolitécnico,0.00,BLOQUE 100
